862 694
148748 175671 6242
157865 158138 9028
179113 197216 2635
147396 175337 7960
195688 196361 7772
179476 186747 4991
193412 198226 6449
45035 78611 7862
150531 155161 8939
105558 118050 9408
118701 130556 3679
163310 175019 1183
181872 189669 1839
35074 168004 8127
196864 197579 3225
152467 170331 1305
56575 127934 560
85326 137737 9349
126888 175854 8600
76432 168766 9169
185651 196629 9605
132960 185576 8833
3192 49252 4869
148219 163029 439
161418 193202 5644
192210 195901 886
157667 164804 5537
122849 163981 3825
112843 193644 6983
8605 160509 793
50561 106377 2606
95462 151468 726
59738 197193 4507
133009 190592 4821
14179 147187 1989
153730 197147 7810
196938 197763 1713
190020 193641 4632
100467 121258 6640
92050 184103 4663
20566 133690 3752
193405 197519 8293
127116 139970 352
161665 197911 5096
71917 147678 4383
39854 162499 8498
143675 190630 6662
162364 162820 1325
185523 192318 6989
60747 184958 6041
24173 27698 8491
134057 182999 4356
13540 144668 5306
14032 70447 10
140847 148061 4715
88288 142966 1117
60605 178785 5573
67540 192411 4773
12234 86362 276
155224 166077 2635
60233 118351 431
77398 192837 3522
122355 128939 4569
159756 172626 3416
132643 153019 7068
88239 121269 6139
199865 199940 7395
30207 61461 447
113548 193487 4631
5824 176990 2239
144693 155995 7964
85413 110905 177
1714 48554 7389
41944 120905 9311
52673 188983 245
152594 187732 323
52516 198298 6734
13691 155832 9602
41468 93271 2783
66494 80894 1340
47488 73354 1490
13568 196410 8675
190987 194913 9907
41318 187580 5802
152897 193019 4032
156961 176237 8432
167668 177406 7277
49325 56445 4108
153614 155468 2598
16874 37221 1307
186090 193110 2299
123064 168573 2695
75052 146952 246
90221 147446 5178
106088 154607 8112
134749 155303 1076
142070 179327 629
95346 137656 4520
45449 123242 9189
157070 181671 3214
72142 153173 9581
154547 188636 4196
173559 176779 5476
165122 168561 8246
7201 71676 810
31130 118363 1280
90701 198216 2878
88399 132405 5616
171883 182280 7294
44678 106092 4161
116070 197635 7396
43726 117361 2822
3734 166454 6031
63698 160459 6723
116886 195246 1072
142840 177630 1314
194239 199030 5222
101075 147543 7588
143544 171280 5451
144602 188479 5174
188874 193598 3104
19829 142854 4502
97342 108138 7462
140220 192145 7270
191378 192911 7870
171678 181532 8976
118352 199712 100
144167 184559 6282
189350 191186 4727
20424 199007 3276
196736 197220 9995
155029 164196 2831
100442 162624 2691
141518 149356 7912
115304 158326 8153
125138 160838 181
148015 177210 3072
154846 156885 375
79333 89137 171
4837 122168 5696
120081 189750 3950
150439 153522 6655
96302 152721 4678
72341 151637 6377
25264 110284 2053
108408 113228 7770
108495 126036 3456
190580 194478 9292
17701 129701 5116
98838 175113 9767
149754 156184 9382
29360 56966 3994
185941 194984 6625
47446 186673 8776
176145 176157 470
60308 70826 6247
88490 161901 4311
56307 98730 2453
45915 59183 9731
51549 173207 8667
33883 60204 7073
171973 191498 2613
68128 155313 4934
98050 192791 6738
161034 198382 8889
26712 182309 9130
113196 186007 5882
137421 169582 9262
27100 116638 9181
21281 75428 2964
138871 179575 5629
57274 186701 3922
76722 198645 8095
50622 180765 9930
166427 172565 9764
153905 155732 6791
122791 123882 9043
171977 196512 743
194469 196515 2629
23672 164919 985
80848 160134 9474
103310 188063 632
96467 122181 6557
149626 179925 792
19558 144366 3403
63846 164705 7697
16414 125970 137
6439 35411 8794
25966 28344 2559
76921 112893 1623
70685 93916 8271
67967 81945 1701
128976 136300 3107
159063 161634 533
70229 174853 3813
122152 179014 2056
193958 199857 2480
127085 178841 6458
93190 122907 3303
48267 127667 7633
83910 125106 2660
113574 148866 263
107954 155584 6995
163537 191382 9238
131343 190541 6623
97443 123121 9332
166402 183256 6014
2109 142694 3951
136009 182916 5145
148325 152919 5034
52077 160610 30
14659 166554 4855
46808 65238 1161
25588 42176 1991
185655 192496 6544
169187 195789 9185
33301 111351 8430
60733 63959 3903
115987 199443 8226
18356 54295 975
81941 156615 1160
134287 147460 7128
96713 127019 631
46739 101662 3067
161287 174731 3437
116406 134170 9115
94571 135118 8552
59204 100863 5392
59627 180811 4823
167961 191866 2248
46856 58313 5776
77180 126642 5999
175296 188299 7650
188300 189025 3953
155299 195070 1853
33221 118665 541
195342 197412 896
46730 158530 2220
246 125148 7812
199923 199948 8081
133016 145899 9591
154139 173373 5139
131471 185248 4971
196070 196838 7432
86451 191535 3104
18502 51111 4405
11572 44327 7519
83878 150230 9348
192200 192722 5432
130802 191243 7124
28555 155856 7998
72122 150661 2519
7799 152283 1281
21676 166975 2631
92455 177535 2060
23999 56013 6218
185814 198790 4527
137358 189768 6424
48256 86645 8544
115351 161243 1194
189496 195854 9710
104062 126933 9765
54966 84396 1941
23168 165942 9367
86159 166918 5608
129706 168390 225
151639 181784 9388
56908 169770 9365
147333 189148 4449
15303 44260 9314
53583 123825 7094
102376 105279 2365
31811 117214 9438
69704 100675 402
194969 195814 1341
20404 20810 5580
127077 166906 7815
20311 158972 4081
138994 197997 6346
99870 134322 8353
67521 98768 2987
110335 155911 5119
113159 118107 8414
132079 153626 6672
45423 161055 7114
57084 77111 2660
58474 153459 8444
123173 157137 4083
56634 135770 2570
180648 184064 26
182127 190076 8155
57633 172424 7014
183234 193000 7749
108956 175993 7232
124045 186061 6647
2117 159782 5865
44853 168373 7607
121352 196756 1399
109084 166126 2814
86186 186672 7568
37168 62463 5699
157794 161927 3462
61648 186144 8501
197189 199643 2580
39813 107724 7901
16914 164168 9976
74785 143973 2099
71533 181113 1873
156500 178044 1359
44899 82200 6091
188989 196832 2594
75868 77492 1944
3307 168193 3446
73602 179866 9729
166174 181777 2339
163689 199581 3100
102617 130241 6516
18799 38035 5136
171613 188300 5369
8865 43858 2855
120116 163701 2877
85744 146223 3827
100878 141501 8379
36051 73601 6277
156966 171248 9484
160949 166990 6313
24327 76084 8981
184248 198374 9989
113904 157906 2718
71044 184975 5204
53904 141550 4869
12484 54221 493
198611 199413 3012
83333 116275 7977
132881 193050 4080
194522 199945 3845
194951 198094 8852
103241 171233 3988
46218 172183 9981
137559 150835 185
66909 123419 8230
102793 182329 3347
4473 128701 9910
111786 145136 6409
160799 184946 5209
50139 132955 5448
14271 34755 4860
109136 157933 4715
128240 158219 3645
139209 171947 1706
106321 122296 9554
1093 62373 8853
4232 165630 5721
85633 148690 978
64835 118226 9791
117177 193743 2230
190080 198024 3652
112593 144574 2544
20862 123872 4319
5287 80016 2316
14131 40731 8078
181015 185343 9126
4576 167077 7729
194692 194919 3885
198342 198636 982
41061 179819 6394
10882 116739 6231
141235 181747 288
178346 194390 8995
163635 187267 5878
151479 181875 5291
46752 128463 2067
30708 61021 2942
40376 90747 9626
8063 194803 9015
90102 162211 3941
182557 192488 5364
108477 198770 8246
53420 180653 618
29745 57934 7403
162637 169694 8871
45093 184958 6818
109990 173007 9480
172635 192610 5502
62127 109311 8764
25685 60398 1864
53514 98650 3736
125982 148539 665
47880 157963 8476
102521 154153 8758
144943 161279 8917
151960 164271 5485
67292 110953 6805
170163 188081 3567
14806 66254 3296
169616 195066 2143
75183 147661 3688
127046 143970 2761
136065 140912 699
99962 107543 9606
84258 172469 283
165709 166822 1327
70796 178302 734
178465 188859 8895
154149 160075 8358
153887 197568 4446
140463 163343 5635
26465 198057 1467
30367 40746 264
1327 51029 9898
105746 154181 8267
154925 172542 8526
39790 98630 4033
189934 190925 3272
144490 155610 6073
177821 190910 5392
174117 194347 8776
151892 184716 6675
35524 112868 1444
73215 150127 3262
135505 176776 3893
77171 148251 858
11561 124887 936
98955 139541 8584
39630 172294 2885
126766 128248 3422
79036 175662 8324
111380 116968 3826
180393 197621 1291
180640 197421 7431
128613 152812 3499
179267 180676 6694
109126 194361 3243
163983 169080 5790
106770 118328 3732
93024 127084 206
94949 161883 7071
33012 137064 9089
104569 150753 1260
151417 163918 7436
2986 157853 388
96921 155102 5508
164935 197095 6401
194491 196943 2275
75810 146497 9436
111233 153520 6493
8673 118883 7863
15783 90105 5037
63368 104107 6156
63466 162207 8453
170458 187116 7157
36084 69309 7126
128058 185995 4285
69777 173722 3884
129233 162885 7943
164037 173357 4446
189862 190995 3021
63568 123568 5204
62160 161239 4636
156246 186591 9817
27916 51481 7437
103010 176659 6594
14990 157542 8055
171724 192527 1520
147468 194860 2147
81152 82454 3235
18650 192174 4975
180082 197189 1999
120294 189473 1831
64836 180867 8595
84526 126989 8865
161848 181016 7190
71634 199780 6952
127067 178728 3717
160560 180494 6843
89676 192184 4443
81478 92873 1623
185674 197448 8384
145374 189393 529
143015 157680 3476
168396 170273 1192
67967 123510 8717
78131 165753 5018
19107 107782 6448
101848 103240 2518
71559 176529 1357
156322 185989 6386
71836 150691 7581
144945 153254 957
95825 127819 463
94639 169757 9864
169490 185950 4161
107826 147162 9824
41427 183936 5980
136043 159872 8799
112319 158986 6212
127292 165537 4227
13029 138905 5630
104607 127812 2303
66276 149554 4994
188694 189575 4976
64402 140858 8130
128075 177532 7362
26357 119685 235
147373 164868 8453
190242 193060 4844
90453 118021 4986
175098 191301 9604
186506 198473 4226
59261 108104 6945
72287 125450 8040
40574 183945 5478
33778 175539 525
68422 161589 1788
99312 155362 7428
129001 175640 8988
22114 54020 6799
1559 3095 4379
99691 150165 1194
176751 194678 3575
64747 131405 3846
143037 197209 5953
114901 169446 5560
149844 172181 9628
12932 123449 5235
84326 115349 6949
26970 191341 4867
37361 42948 7714
175444 175953 8028
70344 166310 255
96541 144859 7538
79529 122072 3015
72227 182353 3098
197985 199419 8672
5537 72154 9296
111375 151835 1626
50069 166274 3417
22945 57282 6825
76219 145912 4092
128760 136030 5280
15689 43004 7821
119489 185617 7088
114285 129221 6890
85301 98893 497
76857 146192 3065
127436 145384 4384
57494 183218 6562
40705 54514 922
127278 186058 4520
104054 162922 2152
30646 34634 4765
103874 147811 2635
144987 197858 8375
62647 125962 5626
161947 185697 1789
198271 199366 8457
178790 179028 6551
184281 191115 6187
134742 144398 4708
184659 193816 1979
70047 71973 5117
48541 192104 4007
84123 93912 5594
447 107086 1982
31535 136862 9795
96976 130185 2796
686 192923 490
175529 191706 6995
127 132152 1078
165963 189921 4652
43060 110964 3651
43611 187352 3518
132483 139887 4904
79111 104645 8830
49901 170375 5017
13255 66246 3223
50997 52320 3982
89187 101641 7611
88187 91944 9427
64793 125322 6923
184445 197293 9714
46640 185050 4083
152428 188437 7309
101376 150665 3514
111493 151000 9936
119539 137480 8424
26893 145123 2758
197424 197965 5272
85772 89822 3370
157167 176851 4192
115367 152881 7009
178820 184819 2766
132057 137763 8486
157496 191663 4677
132462 155783 7046
184567 197507 9160
3985 14946 541
171037 175551 2582
281 16441 240
137539 170735 2535
49564 134766 3788
161946 177887 1638
179660 193539 126
160254 199652 9310
56147 142747 5492
20687 149591 4937
178186 185269 3508
56417 187871 3015
69458 84731 2828
143755 167276 9708
145655 196877 7706
123890 136392 6798
132938 151358 6284
173558 183720 6205
15320 109786 9578
95806 173953 4562
124948 159554 4737
175323 195128 1309
19007 104069 4963
178971 198453 6041
182678 198476 8942
86883 197893 835
1392 150351 9306
16271 121936 91
20103 193992 5303
25857 42043 9113
160216 170848 2310
71979 108407 6980
99224 198985 8071
199479 199676 4911
157936 167205 7666
124818 137835 8325
170261 181185 5177
3760 134413 5957
55184 159909 6174
89222 127966 8577
46477 94009 7440
198416 199483 2292
80518 90306 1548
73271 98206 4258
35173 138352 5313
67646 189398 1236
168769 178498 8660
164167 178286 787
132054 148280 6486
157070 182114 1604
62516 170809 7026
92531 148938 4869
105342 145119 9195
187484 189801 5080
145063 187602 9797
142175 155603 5357
66565 114927 3042
46131 165242 8756
164638 181645 9360
117699 196155 5043
147022 174889 641
197285 199943 4436
104245 119631 7243
114394 130545 1122
166784 194201 4753
103266 153886 5814
121885 186451 2769
113127 140828 9741
56959 135388 1839
141036 166989 1979
39071 56664 4849
154338 190074 8694
4270 135130 8044
116168 136054 8380
149667 152819 5759
88650 171505 7750
19938 20108 3919
150054 181659 4625
21206 124014 3315
32586 33369 202
42669 178300 8416
37197 77947 9850
1774 113871 327
122234 141717 3634
54360 168314 8589
36734 58896 169
120516 193058 9323
160251 173337 8163
89696 171262 6135
46449 111883 8355
160066 179913 2626
108706 195959 196
181724 183327 5427
35197 149442 8965
18289 82849 1988
9653 71036 467
54808 89175 9787
73831 118653 155
80769 156635 2988
36490 191025 9903
114222 133996 2109
24780 39617 1464
160422 196004 233
52166 156111 9117
20573 108702 7945
55523 138591 179
182153 185328 3327
34085 150505 5173
18723 187021 4325
108852 194105 7269
84136 154291 5126
150953 167646 9524
55676 95932 9147
3465 151979 878
148585 163990 4072
49097 74515 5962
80673 171384 3959
123291 176727 112
185232 190869 7332
44091 124675 9147
86360 179791 9051
136763 146499 8129
109847 113009 336
19246 198113 1504
25638 152566 8893
73690 94186 5260
148445 176037 2737
9479 91460 6630
92638 117383 1526
150252 173634 8190
110105 162004 4323
60314 125104 9115
189017 197212 7107
195995 198382 7802
174179 190870 3733
40069 168530 8182
16620 132648 8214
173118 190101 8391
163237 197733 6683
119439 180990 9342
170631 193489 6531
98149 152739 6847
71891 141647 5917
99848 197580 5776
124297 141525 4981
89342 157952 7889
34213 40563 5301
114590 165856 5964
38998 50633 553
129107 168629 8478
110290 180503 2083
51752 130159 5062
116027 166243 9264
126576 146793 5133
129592 132044 9578
