4179 3806
95418 169822 2355
118606 165020 8405
34438 70408 3592
179670 197896 1109
136415 148178 9912
68310 126706 9199
17195 171246 2913
187979 197209 4416
196557 199664 6734
183015 198496 2866
32373 183267 354
70638 142438 9971
34108 84253 5826
37104 189773 7861
170702 175508 4357
190803 195359 2056
14063 76063 9088
47848 153668 6901
132543 180878 4412
153297 183821 3356
132220 184315 5355
5307 68522 9487
25675 175363 7931
136078 197634 9824
44876 81169 1242
2343 108861 3705
180682 198006 4011
198578 199171 5979
1120 87475 5974
1749 62060 8665
32950 121528 982
126224 152757 8853
180621 189510 512
194835 196042 5371
27069 50463 863
128357 144716 7500
7590 142774 6808
102070 124720 6893
120105 156460 8234
47745 151565 9281
176563 179687 1669
91269 96561 9476
44838 100339 110
189490 191273 7929
99565 126811 5233
10477 199994 4023
15655 21649 3160
122992 160464 879
149416 177260 8875
135899 197043 1376
49906 161495 7433
177592 188879 1694
174267 187431 9830
161317 185511 4384
192465 198856 4949
189565 192126 7626
125557 199797 7159
168842 185844 5994
188518 193986 5636
52426 156437 7590
124189 170056 3209
70940 124815 165
190245 193225 2515
146831 192684 5837
177164 186738 7675
126346 172977 8748
179663 194775 5618
142308 172324 8091
178552 180497 1646
57607 186536 8512
148753 176905 7717
113439 172906 898
32286 107643 5689
93773 97159 7315
17408 35345 8165
184321 198054 4936
67372 116726 1607
197734 197902 1148
40283 197842 5038
184631 185918 726
37641 154032 3077
194167 196938 1880
196632 197111 6305
196596 198252 7337
72918 148874 1383
170311 189730 1749
110405 128306 6705
145463 172963 4787
87264 108861 8051
44592 106208 3383
108934 113420 7656
136690 179408 8457
32696 100964 6914
95373 132844 2661
106083 156531 5233
12321 162146 7556
156726 193310 292
152279 172093 3946
174142 189577 5246
44767 112727 1826
96651 104309 9514
169554 197819 3207
37953 91280 4642
192673 196033 2916
137906 185235 5756
141354 161566 2174
8472 191715 1318
118890 155927 5728
144376 181510 3059
86341 194216 1062
73970 86781 8566
112087 138738 7614
195057 195224 782
113431 187274 2268
118154 168308 6450
84160 114544 7437
190916 192047 5007
28768 92241 9790
16117 86382 6911
41143 130858 4077
170626 181060 9788
35546 141643 6160
136135 181893 1078
151057 167620 1972
41447 134772 1217
5445 31134 2137
102769 142009 1170
186922 190923 988
151166 176328 8747
180682 192799 3669
190633 198627 421
73837 151090 5233
71463 94472 8973
178095 191214 1378
28076 82111 3825
127460 138539 7942
6468 11380 61
158706 162004 6981
99057 125094 3969
132849 190656 7119
130406 162155 1333
143391 189043 4165
18532 22835 9776
134663 178552 5078
66407 81164 5764
23045 79714 6748
46250 129794 3838
129568 159685 3416
39640 102817 333
199630 199653 5115
63146 141563 1088
135872 156969 3575
83689 101945 4340
133317 160580 3029
85505 166388 6094
136026 172250 4376
84954 170244 246
17754 55908 1745
123242 143689 3733
58881 104637 2660
85752 111850 3057
195468 197942 8971
50535 189422 838
133727 196744 6537
50087 106012 9638
176578 189849 4146
58268 144701 2163
18507 101782 424
31433 127662 460
93595 111484 9705
140510 198742 6534
127704 136891 9463
26026 132856 3981
39774 120106 9111
78045 159321 9308
190828 194533 9230
164839 174875 4889
86708 171118 8921
30128 182741 6804
163253 183738 348
171207 191882 4193
106107 121889 5693
144287 188568 1683
120646 143270 9633
64992 102845 4091
59638 121190 3175
59445 124479 5089
42900 69250 5123
192597 196966 4738
43463 83573 7278
55712 61113 4171
6222 102738 9228
165341 196181 6917
140361 161617 6110
114820 169340 5121
161700 171063 9609
150491 154019 6357
117030 154936 8069
26641 150788 5079
69222 106279 7706
182254 195209 7065
15183 163117 1736
118067 123392 9686
121093 131773 1190
108968 157574 5820
191632 193034 8798
24558 74758 346
40621 180649 1782
55207 70775 1308
26852 43830 7522
128747 198759 9428
123342 156674 4104
13826 184856 7339
8129 97711 147
15928 27936 7080
97762 151640 236
23644 110246 8575
91157 135386 725
75885 160765 6302
59007 144217 4375
95241 179238 5492
75598 193662 8799
195246 196678 3379
38105 134545 773
71848 108535 2919
27936 80703 7421
92576 142625 550
157874 196170 5025
133052 198702 5642
69567 127115 8221
93522 123291 3213
65933 196857 1069
136605 189977 2757
179628 198364 2324
30139 98331 5280
5738 122135 6975
111689 183019 6161
170603 181540 7529
50941 115912 7035
150709 161594 2223
86314 100949 4397
126806 166303 9303
71824 72256 47
101753 136502 5932
25660 73741 875
28993 103194 1885
160118 193105 9343
57364 68231 1686
34186 65250 5874
11989 69991 3903
110200 154143 8133
59435 163338 1684
28635 101864 7100
133183 136909 7556
168630 186487 4396
14224 168927 3342
122793 190083 3687
29623 129551 6344
85067 149041 4374
151507 152374 2593
48889 189652 1670
89496 191640 7946
71145 191466 6646
66579 101158 80
16047 195118 7855
64183 143092 29
15953 108709 5364
77328 117392 9087
75566 103931 348
89974 167853 6008
100386 121246 8430
24434 94954 5752
36414 192459 7773
167888 189246 392
33183 39163 1876
70647 111229 7256
55501 191825 1410
96055 177273 1707
133623 178432 1529
125846 175473 7409
20743 111942 1843
103361 180444 1029
83970 111838 1366
56793 76843 3016
63336 136485 938
178460 189383 7950
56475 118578 4841
33145 182990 2423
99320 113029 7446
175766 180064 7535
102974 142818 3488
177441 197778 9242
148568 157332 1560
54051 185238 3626
26493 58244 9888
178860 194100 211
76482 167538 103
90391 173309 321
40005 82174 9683
189893 193365 1160
197282 198634 6526
193918 195098 3164
109592 143593 659
90005 97184 8097
178303 180726 507
107026 197456 1670
113656 129915 9139
40150 138818 925
117639 130227 7007
135151 141613 4142
59751 103695 373
149873 176253 7709
115777 189055 4835
121765 193106 6520
146649 180224 994
169958 175644 6517
10189 157513 2175
167707 188800 4763
35095 178172 1191
173331 199826 3552
57747 163149 5027
115704 177310 3859
113604 186954 3780
157726 194994 1755
48364 94569 8064
12815 191674 8991
97824 152960 7389
146405 151583 6310
162516 190131 5886
175206 183265 5330
128843 195124 5292
134663 145037 2601
63267 70445 2358
120803 161627 5524
141300 167985 6459
65694 99047 8795
131229 151588 5079
58538 147530 7359
87597 171892 7772
121360 189827 6090
127826 197833 8243
