3903 94981
64663 179132 7343
138224 150986 7682
21900 58321 5362
168561 187280 6724
2791 72444 8838
146886 155028 2539
127862 165943 888
174446 194793 3862
146123 153120 1766
189516 191597 1172
135724 196056 7660
65941 153781 7245
54365 198961 9930
87765 190552 4465
184722 193705 8712
24140 196462 321
164259 171396 2205
140630 191186 3228
190669 198935 7915
178315 183467 2812
196853 198706 2031
63964 73484 6850
179023 198640 1767
11680 156142 3135
74793 148288 9045
116686 144350 2245
181915 198082 8435
156512 169248 733
45724 97815 9335
10517 179625 9690
138261 170363 6617
182143 195861 7549
116167 141460 2914
165424 173460 1322
171285 197595 4232
93254 191531 4395
76328 171189 4598
132737 155185 8227
39744 89577 8945
189745 195977 9558
68740 163743 5800
66378 102638 1462
190052 191495 7003
47666 49475 9632
184309 197313 1999
181350 188326 6664
182152 189084 6848
136104 136423 8579
130146 148413 4745
84314 134658 8276
77789 88405 6176
11642 87402 1017
34184 98043 7909
143030 167856 1638
183213 198705 1067
48539 189700 5153
173624 190183 7128
2390 181373 431
110773 176994 8522
55110 141661 7551
149649 195163 474
131699 178791 5141
152738 175141 21
112333 171104 218
99129 198676 7128
188396 196705 8722
122042 170754 1164
69286 111390 4318
103327 186880 2018
69780 96682 515
157364 194605 7584
119730 192783 8489
136111 167483 3788
62553 191774 3784
115817 190999 7464
128821 138882 4032
191625 196571 4191
188673 195527 4456
175428 178010 7999
17714 34465 3770
36198 195946 8375
45539 192306 7564
125818 195302 8355
117084 181159 5538
162286 191164 9685
109473 115142 1170
132987 143698 4550
137409 150378 5783
18703 106865 7165
20468 167025 3737
110063 172489 4078
139243 165210 8941
117211 133125 3815
22894 134976 9961
61653 103023 4759
13853 109063 5275
22794 97342 5487
168765 169556 4091
103526 133890 9438
107217 115081 3565
104775 167555 7367
194817 199672 1595
101087 140361 1205
69049 199369 881
76138 88075 5778
3185 131861 331
146834 175486 4116
65511 173478 8732
78309 157630 8921
30712 159106 8480
156146 171997 2212
152958 184595 6549
48070 153831 8616
175824 184346 2757
173159 182152 6692
36026 152208 9431
113388 142626 4160
100413 172398 6086
195557 199855 9718
513 85366 2193
156545 172166 8740
135184 191582 3652
3379 57864 7265
70273 186155 8855
47063 69137 4670
159356 169058 6374
53426 185253 4815
61070 83078 7952
147015 163366 4569
63302 155988 3155
67931 188053 1854
123997 193636 8296
119974 188754 2183
130529 167525 3579
30617 140759 945
70474 151071 7021
182568 199484 9243
91007 115703 2974
52634 188502 8526
29061 166091 7412
143009 145372 429
92475 175665 385
13566 183569 6671
46841 174539 5876
69241 166297 907
103647 114013 5438
116720 194731 8228
195678 196131 9464
80414 110097 868
177211 183566 3570
53837 194195 157
116263 134423 5967
168825 170918 14
89025 139769 9759
179865 199080 8722
38650 138028 557
83417 157002 9951
79383 194315 6138
68494 191619 9213
82159 142682 585
110550 163528 2437
21470 128809 9900
50581 86836 6957
14379 22289 511
37309 101293 2257
58101 72686 6132
28158 88942 4963
23590 28883 2270
90689 136642 8533
162656 192747 161
111684 161890 7958
125859 149921 2585
85922 185358 3916
24973 43273 2106
18390 151783 2033
32919 82417 440
16552 78507 480
187714 188379 2599
196547 199607 3313
522 168479 2582
66818 132409 4019
170551 183132 1575
86359 195908 2138
69216 148252 290
152975 178613 2169
148418 163406 2986
94709 151075 1186
165314 167590 304
99734 150572 3083
34136 148433 2279
50325 104197 8626
120858 151080 6039
9983 70119 9140
9990 149391 1334
136568 157914 8618
151489 189861 1107
38097 105177 6037
146516 198553 6612
128224 192709 7467
148310 194429 3539
30552 110858 4722
140972 162188 5556
33122 38825 2653
167668 179312 6954
181901 186727 7044
77477 139108 4618
143673 154079 7833
151552 153697 4655
179453 181480 6488
158634 182834 6417
151272 191046 3821
136260 156308 2463
44325 184100 6717
183761 184338 5044
490 196830 4861
162851 173823 6809
37771 179671 1928
113291 125412 8134
184265 198446 5151
124017 161889 3151
61544 190856 4817
180251 194958 7516
136649 164643 4941
134390 191772 1385
67149 162081 4372
122804 167607 95
21616 192383 5589
139992 177618 3587
97870 99212 2483
40622 56917 621
37010 195809 3129
19364 71018 6540
175833 191229 1601
20445 38235 9208
176701 199892 2785
15371 131549 9751
11753 191020 343
106336 150796 1892
72802 183503 6327
180119 187872 7180
113628 187806 6802
149954 161909 4250
162031 180705 8504
35663 146849 2677
64692 125197 9168
113366 197393 9945
144303 151562 4567
103266 181783 4740
78648 176963 2792
134989 186589 306
29550 127033 8507
121721 193986 4138
6376 96085 2673
167104 184777 8889
174269 178749 1982
196647 199172 6559
69561 91524 4391
16307 103649 3497
12625 172969 4254
43221 78299 5839
53244 164297 76
32809 76492 3823
36432 46637 1870
102794 105517 6921
143432 190538 5987
46087 116673 7052
117192 158184 4884
98309 190765 3296
154481 156667 7429
140711 178494 6437
24941 150209 1595
56576 64970 7244
70312 189326 3166
63127 126946 1188
149065 194695 5840
185657 194050 4792
193188 193876 6222
4623 73375 9815
168315 195948 5127
162663 166976 7411
83328 174375 8330
93945 122880 7486
121899 157907 2389
123177 176755 7553
81247 120905 4395
166595 197417 1679
55704 117704 2565
34524 150337 3898
129110 195810 1484
88480 99130 2675
118908 128971 9862
27187 38852 4455
57726 75697 6623
83485 177597 5544
114056 195691 89
22677 26909 7578
101797 194567 8935
84159 123230 7008
5480 157778 7365
41020 164067 1573
195284 199430 8460
170384 180774 383
36356 88571 3333
62062 123932 2848
165375 199662 6988
98946 148215 2430
25586 52184 9207
114793 130508 9830
26767 195092 6998
38330 54809 3372
84353 157418 3837
157599 166141 5495
110623 177587 7823
36576 145100 5306
29947 108794 2525
29067 89920 5589
73305 178945 7456
98484 155014 5452
128553 175127 1331
154399 193770 3080
103182 129738 5300
182963 186169 4669
32537 120015 6668
56994 101186 8460
22980 179790 2268
14195 42401 1338
61971 80778 2794
131079 194943 7024
197528 198243 7725
39900 163272 9252
52906 155265 3493
136189 162475 5639
156494 172563 3118
93862 156253 5680
174511 187052 8982
168992 183996 6873
184727 198607 7148
188428 194057 2921
80720 189078 2092
145029 180036 657
26079 105743 8568
17187 22938 3850
95845 183729 7337
13590 186618 7662
118300 190992 7286
10555 52352 4950
104415 132282 2036
142360 155976 933
198015 199630 4463
114856 142516 7635
13787 49429 5911
24852 27148 9931
102384 102561 2237
31639 136372 1240
4853 95233 5024
137265 181681 2093
56103 89078 4211
87556 186543 7444
142483 166848 3042
71023 169315 554
44385 69667 533
127411 173778 5737
197806 198653 4563
90091 133383 3749
152725 178507 6026
88895 181034 5643
197498 199312 9485
79595 102837 5078
48849 84587 1807
111563 195295 6803
36868 153919 2911
43423 111581 9976
158183 190077 7557
128685 170737 2480
188754 193244 2492
44539 194290 1051
