126148 1
67985 171019 5156
140883 165647 8857
1361 55343 7061
160831 191090 7535
39676 189741 5663
133898 198118 9976
108010 165588 4570
13522 64461 383
45127 192705 9804
28332 36601 1993
76339 100397 5206
20421 105955 1297
83649 104813 6792
84729 138232 5140
85915 168036 1270
8334 147425 1998
62367 146480 6431
61774 199498 4308
44918 78055 5834
22725 157663 9123
12525 134793 3684
193432 195223 3480
142206 153763 5768
100629 129142 4641
92834 123612 2398
101745 160826 612
105076 140812 5895
53468 77944 3103
145740 183885 2695
26574 195446 8960
17481 85336 2499
198969 199112 7061
145341 153113 6077
133843 136334 4006
95081 132444 8254
132456 150739 6496
40350 192887 4835
12462 183199 2645
46042 166992 4939
141049 171958 5171
70493 145080 9967
109939 117071 2259
18188 20596 7731
185238 189249 3282
86174 160400 748
191246 193204 5220
135796 186136 7170
24095 57201 4504
125045 141654 4311
179631 193472 3462
139019 145159 536
147283 159097 2880
149147 155440 9460
71999 75993 4248
47138 191659 3067
173191 199348 4141
25160 34841 2968
87305 124389 9996
164103 199072 8497
191647 198393 8164
106658 152908 3918
13047 42787 9754
176983 188943 9305
192201 194153 9807
150215 163808 2325
158552 176663 2606
150698 193949 1105
63606 138289 8554
149804 179305 9294
146644 180764 5559
19709 80084 7375
130436 163991 871
19187 118602 2865
17733 49315 6536
63940 168709 9098
74911 160668 1628
28394 44395 3878
149823 167085 1513
4805 147353 3280
2770 68416 2274
84854 181439 3054
162075 170312 2597
131544 138626 8384
156336 194388 6022
116323 170866 4410
79597 116337 2875
98610 146745 8735
49633 129925 457
170647 177110 112
7979 84671 9711
149442 174140 6998
41763 100395 6114
175241 180345 4540
197589 197793 5545
53203 119600 3536
167396 196442 5145
108155 161167 907
9489 33701 515
161930 189206 5422
80164 94634 2204
9 150529 8719
173750 197057 2925
54891 76909 4725
178698 199313 2524
132327 196745 3488
31137 90462 2922
120232 124054 8604
183446 190834 9694
184026 184611 2183
34761 154389 9762
55379 143480 5552
114234 166510 8652
113762 188455 3331
11154 183644 4784
35393 129271 2226
7855 14052 452
37328 163498 8038
133832 182472 3587
33391 131310 5750
154023 154235 246
129455 131052 8775
128945 158483 5279
93830 154649 8789
164937 184128 8824
170968 183821 8416
46289 113603 9068
23008 149018 186
11924 32843 9652
139315 185620 7023
66994 133516 548
68306 173547 437
66785 181508 3094
170313 173815 9255
8344 107709 55
8703 68331 5117
75725 180921 8416
9035 13082 8702
109315 142686 3992
140068 169468 8248
73324 96789 168
39496 61360 6174
175731 186214 3439
84150 87180 5491
152421 193998 6727
107083 130163 7558
194013 198257 6167
174261 185711 9119
110758 137845 4442
100518 169258 8921
6857 140744 6511
176919 182123 7296
93024 156318 2003
49586 175202 6812
2508 40283 2267
30631 128502 894
94516 100383 2406
75125 151283 4138
46781 158138 4323
94822 190077 9877
118333 180642 14
179163 183361 3985
20615 113580 2897
46519 198515 9767
182874 183731 2504
155945 192589 8420
146301 186020 37
198357 199805 8471
72541 177950 5701
30247 32343 1082
143132 164802 7570
89533 178798 6190
72626 185518 2107
557 26378 507
49607 148796 8592
105898 170093 5848
168893 199571 930
36218 81209 3976
184483 187029 9498
125 153273 1222
174439 183844 3112
13549 23078 4994
142977 187992 8783
19415 70632 2075
2433 194095 4080
36228 36516 3135
172068 174393 260
49527 197239 8033
29073 47320 5165
88836 149505 7626
184715 187253 5598
14902 17334 5092
190562 191180 5689
89261 101157 546
97189 139923 2154
145450 153272 3251
126291 147016 2947
193160 195264 5144
112432 166291 5911
164836 176936 5268
105266 133928 8250
170573 184988 9732
146960 159897 281
151618 182333 7631
101134 183155 5365
182891 188695 1951
49261 157124 1350
155089 196424 6975
100749 165197 7645
149738 185072 8824
184042 191821 314
72939 78340 9095
72500 180382 3055
79306 80603 4369
99235 166369 9140
93557 152588 6713
174888 197609 3453
1491 15289 8384
30909 175959 8296
111258 159848 4815
37755 152009 5148
34574 123653 6305
194122 198391 5102
118412 163518 4068
186627 188907 7333
97899 158712 6001
88302 125791 8880
52205 75921 6969
95709 116626 3846
185975 190208 275
192154 194575 4446
53697 197147 7347
53602 77835 5952
179096 190064 1612
3170 10732 7707
59027 87486 2809
108164 191861 4872
53267 199569 8441
67921 182422 5263
186500 193126 8249
159498 193082 2152
193286 197887 4150
50711 121603 8101
184352 197257 7794
22208 175016 1534
68205 73042 8822
174461 195794 5885
99621 110356 6377
141289 177030 8010
3234 44500 1104
153888 184295 1641
148001 158883 8455
67040 97896 4115
49684 89894 7310
73621 192850 4322
187655 192068 9911
95520 135718 6304
171402 186042 1918
65945 189625 1698
130617 159573 5018
57458 82916 65
192627 193243 2067
58114 107574 9737
46791 86391 8628
190733 194914 3173
133620 138022 6355
113574 135017 7338
93615 114810 910
21968 98027 8243
182952 184762 6297
170058 188385 7405
195460 196876 6389
151499 181385 7956
18748 171981 1794
160726 190425 4173
157175 188114 376
15649 48984 4293
150045 168827 2370
126560 192950 1658
93545 178673 7532
178557 199659 2008
192372 197569 910
109404 151220 374
28820 105965 1321
16507 34962 5138
41789 110565 5249
89172 93931 2154
11056 53946 1195
166597 190878 9228
170550 178006 2585
6837 97435 9472
89803 113689 2980
114286 184234 7236
2839 119287 3946
57168 184293 1368
19319 120973 8
110654 194376 9915
79074 85843 9688
17355 37264 3398
99267 128939 2606
144550 197819 8775
15440 131407 9055
179666 182832 9552
59182 80172 1683
129387 146683 6224
96678 151295 1132
178876 190645 1666
173019 186248 7303
12227 169062 4277
127451 146436 8723
59172 168950 5115
51809 182182 4432
29126 165481 4486
23817 56760 554
80699 147038 832
151332 180003 5605
41477 42332 6249
177932 192428 2346
59303 189668 2406
150983 195069 2627
96241 155615 9736
26253 75812 2739
80007 101214 7387
44915 143883 3545
161205 165519 1168
81888 149831 5463
136166 181412 8892
131013 176342 4109
161671 193881 7473
138309 140124 8171
3993 195764 3357
52024 146865 2663
196873 199812 9602
162703 189625 715
105660 160742 2198
109662 186796 5411
79047 160338 4236
145236 179737 5701
123654 172456 7426
6919 61326 7314
4964 61353 1676
140891 183761 8603
70118 99048 7137
176522 192411 7095
134031 172770 5492
21400 119424 8068
110054 128282 757
41867 96242 796
95946 145804 137
91928 123967 9274
141009 179652 3207
50087 91049 3404
36255 78717 4308
94517 146196 3355
54277 81842 6353
78217 176420 2344
169235 199841 2979
135967 142550 9034
29770 183483 5859
54331 111008 613
101975 166424 7640
48421 53648 7965
24169 87522 4721
23663 101419 4315
139270 181292 3782
77918 85871 9918
197665 198900 5937
104507 171423 4406
132185 180984 569
21173 46574 3980
63807 112904 9631
157665 186698 8374
192436 195519 8780
123118 144825 9834
50137 118594 1211
159466 173340 8384
123093 176557 4419
107175 150019 8637
178935 180963 2823
104117 142841 9228
59488 183522 2305
94777 129025 5088
119357 177670 7148
166090 186833 5800
95511 106305 2065
99896 172059 6481
88361 137684 9428
116237 131764 530
47654 134081 4512
157551 174505 5027
62938 131069 3983
114656 164672 6767
131681 141546 1006
58858 129167 4092
33866 77313 9745
195289 197457 7753
8557 73179 8402
118246 180031 3239
107622 135318 2016
17899 117527 2714
169078 196696 2933
171441 190616 6354
197869 198175 5672
33575 92069 8084
97647 131140 9973
9187 192068 5230
152323 156936 8761
112772 119799 2187
96057 197550 5074
113345 136843 180
36579 82127 5125
78926 138709 2696
180676 190760 305
171348 178230 9580
129154 183825 8453
197276 198060 8454
33353 54974 4718
146814 180953 4598
66596 93188 8723
79840 92638 3109
166257 184946 6244
85752 188297 5731
77874 121596 3712
67167 150260 8876
29709 148648 6229
139055 189770 6570
180280 195976 6989
150045 197719 8065
130707 141058 5127
136264 160373 3366
133773 173941 6515
174251 180232 6225
155684 174629 1682
22109 196124 8661
93447 130150 1230
110900 199270 7533
133548 151638 6373
63433 100650 6729
169427 175959 3659
45659 172810 985
29801 162680 5313
23965 177374 1369
70374 181028 1536
154095 163071 2237
173793 182307 2378
139039 156441 1838
158030 174935 9427
165065 180233 3254
25485 155657 4267
24518 83511 4440
178037 186451 5935
168670 193181 1731
169547 182051 7216
173299 177537 8345
17540 56197 7764
45133 76316 8939
120344 126736 2460
29369 46222 2999
197352 199105 6646
90193 189682 9491
17256 116906 7875
11137 154522 172
99637 176816 2027
147885 169350 635
191087 194622 2159
165286 199475 3831
81394 131852 8335
147225 193082 7584
150777 197220 5214
58949 185503 1418
5636 156711 5858
121675 130283 7865
3548 158035 9472
92938 168373 812
137579 191610 5638
179461 180598 221
134003 168685 2139
38487 76670 7111
199546 199980 6724
193122 198681 3976
195435 199089 7768
90148 149930 8457
77339 166799 1766
70867 97688 1468
30160 170651 8165
192222 197050 5765
153442 177571 9373
128690 172720 3515
6981 33870 4884
13124 185156 4465
132388 143496 6234
88046 89280 7600
60509 109553 4680
139641 148198 3256
82659 149846 4071
92305 179747 9094
22372 153244 5437
6095 40604 3719
90719 97240 461
106412 146406 6029
38332 81438 6879
194794 197645 49
61519 159047 701
129027 162294 923
55367 100965 2111
109638 157540 5518
21344 154538 1273
32637 39139 6166
152760 176215 2708
72809 148082 5286
87439 183631 2330
184767 194039 2285
145300 180363 9670
62063 152222 3288
17480 191705 1386
159572 188048 5278
135248 144673 3394
44280 88617 871
75213 101940 7498
57987 74716 9615
124314 154087 7083
50527 140651 7802
50290 57065 171
173573 191221 4295
145723 196616 5
114342 183150 7434
176163 181418 8935
44251 150157 5108
71065 80772 3179
87382 160912 9077
193023 194804 6743
12978 61565 5989
50748 85192 4856
192486 193231 6559
96043 128296 7900
51131 140764 3183
4252 176679 1743
87143 106092 2861
152029 153933 9672
10169 76124 8875
186605 190883 4837
