50376 73880
65184 179065 8766
125359 198897 8876
47442 149157 9672
105238 114975 4605
30583 34132 195
37823 105640 8530
74731 89026 3215
80385 87535 2173
162483 188091 4805
72181 161767 7339
193363 199645 3637
69792 132511 1386
99375 173492 9010
152245 155218 444
83805 191695 8444
116788 143615 8235
13071 155475 3597
197854 198597 877
75952 110714 1880
62150 94066 346
57966 146016 8111
97253 108306 8603
31035 151589 1732
20728 102997 1317
170481 194065 8707
135695 155950 2374
77709 79233 5581
180899 193438 1295
159152 159891 391
68642 73553 8019
152785 168652 6228
158784 192358 7134
36344 147380 5760
94371 175617 2313
160472 165893 2367
117891 126512 4941
128708 184172 6245
184410 188447 9957
84523 103472 1718
109648 140118 4953
19959 118011 1232
184695 193493 6648
132203 182905 6136
24178 72998 9990
111934 134865 9906
25274 109647 4294
80257 87847 1909
4773 34545 1929
89541 190827 9326
161009 162822 9095
91240 135971 3715
40516 121042 3101
36807 193053 7707
63993 134521 1256
150125 195927 12
188698 189884 4640
23706 142909 5477
121228 177380 3560
143119 159096 7772
181990 188057 3621
54113 148571 9338
124600 191073 6221
37350 73691 3334
118476 126225 1667
78430 174911 4271
161936 166544 3807
67961 74184 9902
152472 158034 3858
196043 199262 11
193696 198232 4571
20465 177784 6189
132964 139288 3715
140365 161804 9064
7742 152867 7375
45760 83682 8403
33219 144218 6759
137914 164848 4967
20012 66440 1778
92568 148325 1950
151908 182124 788
193790 196275 7835
87956 180423 6091
28418 193226 8038
142097 180546 5622
185154 193726 539
14872 153624 3526
190105 199004 9171
86953 178109 3449
191495 194954 3539
137429 196158 1973
31936 195622 4019
3343 8780 2050
58164 125866 3201
76045 161220 1387
198770 199508 9015
191490 197479 2645
189038 198691 7818
48054 106186 544
124128 162154 7509
153282 192474 1070
71069 157680 1493
176204 188690 4306
29488 127556 9109
2107 165719 3451
35323 195590 2892
29138 38879 289
18908 162757 1190
161610 169674 4302
25103 66787 432
107374 175114 8496
199180 199630 4904
52396 63448 1438
139594 151985 6420
181918 192878 1689
164905 176745 2673
92791 138678 6741
93929 118851 5855
87493 121012 5991
143372 176091 9563
111518 195504 913
80243 121587 7789
146979 166725 571
155799 163522 6242
184580 195141 6389
123846 196501 1836
83349 145973 3658
47719 189711 7993
127003 153834 6854
53431 148092 3329
17244 81389 9980
149813 189403 5380
20701 197861 3281
31227 193359 1347
111228 148672 3516
32813 44281 8221
81139 196826 850
71126 136346 9084
178628 181327 7629
129763 169870 6753
119187 179953 9020
19400 116200 5294
50936 76944 4945
126523 178239 5026
166039 179490 6726
54339 179236 9081
64083 113857 7169
82599 185066 8885
68666 93212 394
139902 146755 3368
73827 151650 6122
185666 194619 9107
156919 165743 3590
137548 182615 1379
89868 166786 4700
138257 154881 8378
71331 162957 9229
193743 195723 7628
145395 166437 908
106268 146272 1995
57399 93230 8630
39275 96974 9157
8377 37170 8001
142119 174394 7148
156951 177744 4729
17088 156125 677
36343 108241 9801
7072 143737 4565
100725 126857 4439
195900 196446 3961
43399 157129 8419
56925 189096 6421
98229 189049 976
34146 133378 3727
105382 151765 5012
79175 124715 6780
89469 195559 7453
83946 90547 2379
153314 162931 8548
45381 73486 9153
83323 181164 2902
199279 199983 996
191450 191837 5808
39546 137650 3595
87156 127136 346
65083 73809 2038
100614 108937 3863
104794 142440 5578
148139 181755 3645
11999 164634 9120
119118 149177 2352
196539 199211 2446
195078 199255 5811
69592 157053 6037
65613 185087 8561
61155 62086 380
120078 138886 7560
46134 101113 7308
83134 121125 9207
131196 170153 6846
70337 169892 9146
19073 179389 6194
131046 146201 5795
156629 169102 8865
69445 76636 3195
30900 78055 2917
167024 181229 5657
177268 178821 5367
11770 147136 4785
191510 195812 6089
198638 198922 641
68640 96003 8613
23250 116285 7800
30400 180729 5317
2511 41253 7671
129265 198653 3364
4695 140130 1884
69007 69744 8341
181708 195396 7421
36153 184990 9074
167819 178602 8258
162169 162966 5560
88793 155785 5366
