49968 49170
2781 199318 9241
3051 195489 814
3721 198367 7220
3937 198305 9185
2121 198990 2792
3368 199751 4593
1456 199963 4336
197 196191 491
4286 199554 2264
1652 198102 5891
5580 199260 2781
633 199946 3253
2415 196132 9334
295 197077 5354
1086 196692 5234
1829 198548 8253
778 192609 2020
822 199252 255
1424 194866 955
692 196481 5656
2310 199911 757
2549 199695 49
272 199692 9125
424 198778 1727
1117 199481 6483
193 199934 2865
6943 197402 1604
9799 199235 9147
500 198542 1739
1807 198898 2692
1928 199581 6063
3261 196272 5822
2681 196445 8301
886 198006 8934
5529 199573 129
827 195562 5356
6771 199526 3135
1016 198903 2179
9293 199863 2055
780 199443 4572
2681 198744 7770
946 198126 9326
987 196452 2566
470 198975 2634
1273 199880 9817
794 199614 8413
2688 199893 9956
554 199518 6518
678 199985 3199
8386 199401 8825
3669 195881 5965
546 198824 6483
482 194486 4175
5249 195699 1297
1420 199376 574
912 199072 6203
2803 199814 1939
5108 199958 5253
258 198294 3610
364 199122 4712
2990 199546 7304
622 197492 6077
1130 192879 5674
4241 197963 9002
2371 199972 6127
6264 199598 7521
4613 199152 6183
5897 194684 1366
4207 198295 5084
2725 198171 1249
938 199378 3152
92 198071 5204
1558 197957 7672
4598 198723 2445
172 198390 9673
2919 198573 8366
1819 199321 2673
1858 199049 2443
3508 188176 8968
1146 199057 2133
2336 199841 8871
1444 199795 2278
1862 199320 2119
2708 197768 3405
124 197131 2270
3777 197015 2827
256 199796 6391
1551 199690 8558
12503 199483 6801
3886 199829 717
981 198032 2842
4860 197071 9764
1111 199442 9243
295 199912 4400
593 197877 7174
12192 198024 606
1252 197780 5630
1495 198848 5552
1010 199530 9062
4050 199755 2752
6980 199746 4190
4378 199383 6185
1767 198588 3594
3556 199930 7171
2730 199631 9076
4859 199770 1550
115 192276 8581
175 199059 6833
1434 196733 6590
2299 197121 549
163 199956 2636
1895 197979 4668
2068 194374 8524
920 197301 6886
1628 198016 9083
2742 197586 7447
1638 198399 5315
1910 191754 610
3361 198775 5746
345 199660 1833
3130 197907 8235
5604 199967 5560
2475 199987 4898
3067 198475 799
5578 198930 3347
511 197574 4463
450 199600 4323
839 196442 1288
465 199127 4954
101 196902 1122
1084 199038 4927
584 199984 1689
2238 199010 8709
502 196576 9821
3017 199293 5302
432 197173 4313
805 199679 6558
602 198837 9027
4473 198083 586
727 198263 1620
1483 199319 4401
102 198031 5673
2722 196796 3410
379 198685 1946
3790 199449 1791
159 199683 7610
724 198708 8281
1503 199164 4431
774 190547 1005
47 198446 6771
1762 199513 2078
1104 199094 3787
754 197922 2515
765 195940 2806
733 198856 2708
488 196076 2153
166 199723 8272
1822 197285 6010
849 199712 7617
1092 198353 8378
936 198132 1795
1760 198548 3671
2966 199632 6673
4467 197543 4113
1469 199430 3538
81 199816 316
1526 198796 9826
402 198889 8103
499 197937 6100
3988 199234 795
2065 199502 2536
607 199659 3142
1292 199763 7288
1109 199511 409
1878 191295 3273
147 197085 6288
1225 197298 6079
469 198708 4193
2116 198261 2463
626 199325 6887
637 198167 3996
5467 195701 4096
1819 197202 7339
3831 199361 5380
1531 199878 4265
296 197753 8360
1194 199119 6383
19 194272 6371
239 198671 6162
2576 196292 6991
570 199341 6817
1353 199943 3635
1262 199644 409
336 193349 8751
744 198567 4908
2294 199906 8793
142 195312 1539
3590 197897 4198
3267 198423 7648
3443 196352 5212
1230 197186 2136
1401 199849 9942
1234 198224 543
3257 199819 1352
295 199037 645
99 198368 820
779 198514 2001
382 199916 8525
2302 199186 3500
198 199556 7691
2608 197051 4863
875 199712 3310
1479 197168 528
1361 199828 6152
49 199008 2714
1511 197881 4213
741 199609 2747
377 195767 6173
60 197789 1443
1777 198979 6540
192 199317 6378
1708 199963 6624
418 196521 4369
3195 199090 3268
1461 197199 2237
571 199017 859
4144 197229 9313
3027 199233 1536
1882 196821 7578
894 199921 3852
1925 199708 8111
636 198130 4008
334 198942 8729
726 196659 5204
50 199120 3376
5886 197895 7448
823 197402 8616
1774 199991 7387
1570 195980 3066
844 198471 2944
405 196981 566
563 196792 2184
3197 198513 8152
1193 199727 9317
5642 199097 5754
5 197160 635
1771 199039 5353
316 199955 4157
332 198802 7819
493 198339 5285
3240 199283 112
52 198733 5236
3928 198084 2135
1314 199984 3676
407 198907 707
1518 197994 6187
782 196820 5934
457 197905 1114
125 199756 3598
1603 199831 7590
2190 199608 8694
985 198757 2941
1404 197893 288
2381 198812 8683
263 194911 8824
29 198260 4534
2356 199216 8410
2529 198447 6520
4333 196697 143
5759 198624 1340
3622 196703 1557
664 199974 2492
306 199522 2238
1725 199142 4089
4255 199175 8779
706 197831 9402
1288 199156 2728
1778 194694 1449
5268 196866 9562
2860 196457 7404
3212 195376 1944
523 198955 1824
1298 198605 2839
2541 194792 3004
3750 199299 2409
2752 198617 1235
2681 194822 3287
1569 198954 2602
1144 197546 2525
587 198250 156
2073 195743 2725
588 198984 507
335 198897 2104
668 198336 2313
2372 199597 5425
6175 199203 918
853 199248 5507
17 199727 1883
1179 197664 3998
3247 198363 9191
451 198065 8476
2207 197491 2553
667 199637 4209
239 199477 8750
361 199063 5603
887 197340 4460
212 196426 1686
647 198381 1007
585 196587 3052
2227 198900 499
1913 199835 3213
928 198527 9266
1487 199219 3666
459 199042 575
1200 195815 6407
7510 196837 9666
1636 192303 6608
20 199873 6822
898 194701 1403
3381 199496 8816
4829 199866 8216
895 199670 481
4002 198761 3094
1256 199864 7583
873 199629 4638
659 197622 240
152 196285 9476
7248 199286 6952
311 199072 6332
132 198595 6931
1392 194756 1434
4695 199274 8245
2388 198733 766
555 197235 8241
3926 199779 7118
2540 199327 4776
4187 198048 7349
4321 197554 3
2863 198182 3243
2505 199945 9331
1021 199730 8118
172 199661 6216
15 199177 3312
305 199648 8815
362 199564 9129
3403 199510 2849
941 199579 9200
409 196517 728
4013 199805 3037
756 197340 5459
3141 199988 9489
2247 197378 4685
3107 198836 5681
3092 199219 7786
836 199841 6175
675 198908 2979
2017 199758 3258
1527 199861 8931
3622 199915 2120
5004 199799 3761
159 198801 1250
3913 198899 8815
2833 198754 2688
4000 198913 755
6438 196663 7381
47 197294 8101
1777 199159 9885
4008 198051 7465
716 197558 6868
6939 197963 2734
562 196396 8697
6352 198826 7783
2007 198684 6132
9151 199830 8888
2952 198718 6805
1213 193740 1476
5323 199057 6574
3500 198100 8934
1125 195552 8418
3798 198289 2237
55 198637 7023
52 198273 9308
92 197501 7944
2830 198058 5106
831 199805 9527
1128 197164 7158
3451 199553 642
570 199931 3622
4657 198053 8059
5028 198293 1312
10509 199128 4222
214 198798 7137
2066 199905 8773
596 199200 9165
5809 199737 6319
1576 197636 432
1852 197061 9010
11527 199656 6835
1015 199969 5292
3 196287 1649
5764 199607 1201
225 199843 2011
1583 197842 2897
348 195126 7081
1800 198594 1560
1800 191381 3060
635 187248 1355
2417 198680 6720
7414 198342 5088
419 199523 4958
923 198814 3230
858 198625 8354
1141 196068 9830
942 197259 2977
251 198968 7185
2583 199372 5230
89 199458 9930
4270 199644 5717
2197 195755 7710
41 199943 9848
3174 199760 562
1643 198601 7225
1354 199125 9876
1859 199389 5913
2551 199836 7750
672 199558 4031
1507 199421 967
1162 196107 1596
6164 199121 6707
592 196029 4253
2795 199360 5693
3824 199582 528
2351 197381 251
1161 195266 7644
2271 199391 257
3772 199024 7515
5032 199062 9249
1521 194857 1722
1639 198437 1474
3116 197885 755
2209 198754 4575
5947 199455 8106
708 199157 2227
990 198572 5749
401 196260 2818
4060 198723 9840
1544 197775 6362
2646 199700 2705
800 199397 8171
630 198806 56
117 197846 3459
3483 199422 2986
2171 199919 5838
306 197072 9982
488 195703 9772
2627 199025 5512
2437 191654 8868
5144 199644 2373
985 197781 937
119 199635 5911
1062 198248 2602
528 195856 7298
117 197253 5439
3286 195693 4279
1057 199650 9090
1282 198496 2384
2662 197511 4443
600 196653 9868
190 196286 3919
91 198621 4028
578 199311 3835
1122 198861 238
2260 197775 1868
4601 199865 4072
475 195409 9057
710 198543 7432
658 191660 5620
896 197335 7963
1859 197765 9653
2072 193462 2283
189 198430 3864
3365 197992 461
6209 199272 5201
2121 199656 1722
601 196460 9918
5232 199735 3181
2023 198973 2469
252 199382 1694
1243 198611 8399
1907 196354 3469
478 199149 9475
48 197614 3857
1936 199614 791
2178 193425 5218
2670 198124 8835
6237 199649 4997
727 199816 1750
1364 198539 519
2815 198071 718
863 196845 5596
12666 195491 4099
4169 196651 5929
114 193729 3876
351 199254 8112
2699 198809 3333
6018 199263 2779
661 196661 1832
9178 198415 5610
2526 199200 9131
4905 197873 6481
971 199769 4369
2 197915 8525
4184 199780 3923
406 198606 2886
4083 199186 6825
366 198984 58
456 198778 7541
1778 191368 1656
690 195834 960
2045 199431 5675
13 199422 3943
1464 198993 3577
2155 197028 248
7570 198843 43
877 199721 1496
871 194802 2766
419 198528 9383
6053 199956 6618
89 198636 9144
3143 199594 1922
763 198813 1354
2103 199688 8076
