5611 8340
5026 122826 3551
127167 148499 1980
161716 172995 4951
141548 169872 8138
169664 199305 6611
60784 89736 5998
193331 196727 1751
106041 111560 2041
180212 199037 6377
102595 144391 2948
145855 199616 4899
42786 127009 1951
16979 167677 9556
64426 137389 8765
104293 117871 4606
168096 195673 9998
135947 147791 5675
116101 130606 4733
160560 199315 545
20169 166842 2811
55258 62353 4712
194425 194526 1099
145332 174573 1786
143746 167094 4159
52228 182558 2650
171228 184227 3427
3666 85319 1895
144074 159998 2648
195684 195999 5714
89075 109284 9108
98240 116756 5965
92313 145227 87
90472 165888 7111
164050 165065 5553
162906 189165 8086
140178 144101 4514
158769 188251 100
48674 171599 2609
69802 158306 3773
92609 192005 6210
162193 176557 9399
117068 132447 5889
166732 184176 9970
94532 122292 180
176623 183125 81
91029 130378 5375
120272 124636 6970
187981 190487 2105
88061 116655 6443
163325 199466 3375
194024 199855 7101
194045 195739 1432
102611 122301 1965
47343 192680 3833
111785 126861 9832
72255 144574 8056
179351 182323 1031
34308 69927 6263
106135 116878 6363
39093 77822 7705
31175 34754 4874
24663 84461 4568
75807 90105 3482
63322 140109 3755
2666 21444 174
35746 183856 3265
14287 120315 9599
118465 141705 3571
115865 158883 3484
42074 45250 633
112863 185157 4932
192468 198985 1019
99830 109394 6803
86704 155061 3915
168092 194318 2587
18888 98075 3281
93268 138506 4181
97335 143675 3942
64439 123534 7416
182673 192673 2165
192412 199276 6392
114845 172029 5934
126518 186809 3523
167502 175415 7005
138995 181423 8488
3280 51652 1579
137984 198300 9065
62918 177250 4898
46828 109821 770
57061 72882 7431
125066 173059 8873
24847 125404 930
95168 168082 3321
47204 142224 2385
193836 198343 330
143096 170719 8654
159877 175257 9202
192170 192805 8654
79233 146254 3490
123586 199401 7388
120593 182026 1610
179790 195243 773
37276 68135 9070
52560 115873 9141
35204 86283 5117
81344 89685 3201
73325 140687 6270
193757 195186 1030
178796 198930 8478
106381 115586 8033
159067 189018 8312
107238 150483 4464
71824 172819 7828
128435 133474 7689
24878 67935 6019
64148 68582 2170
41962 111274 313
107176 188464 3745
77107 97747 716
178469 194259 3708
130552 131175 3627
92134 120211 3635
1296 166059 4002
195113 195165 9027
27293 102765 3933
51605 71623 3615
94819 148117 2267
25138 44807 8338
47206 132908 1781
11871 115755 888
34360 170900 5935
6347 179123 6974
73087 130321 7006
199985 199996 9701
182090 182545 1370
34990 182122 8783
168518 188555 117
28407 162804 8979
76985 117747 4076
3651 182327 627
127027 197806 8334
163160 165249 8401
8072 144872 6571
41375 106620 476
68018 116328 8782
34921 181030 8673
103092 196708 6061
99833 195455 1167
109220 127475 6160
148534 193359 5899
92836 117640 9393
53702 75405 2310
104774 170065 7027
128585 190895 6059
44363 79162 2053
198650 199413 1117
1393 48435 9224
6061 78645 7488
86591 184694 9999
65000 142625 3734
101650 195477 8775
44939 103956 1437
100410 102558 4150
190784 198963 759
12689 107687 1096
118359 174100 9034
181240 181279 8488
169692 183902 7705
117357 143421 7228
100334 195033 2530
107260 159266 5812
138342 145270 3881
185046 194976 6100
178902 196501 4468
32693 180899 2575
53268 184967 5641
177477 184142 1367
158311 187198 4373
102912 116217 1378
195526 197299 9517
79339 79564 7550
98076 190415 9978
99214 100011 1160
57266 143278 3056
105989 179470 4057
160898 169774 9792
181298 182665 9346
143371 191392 351
129170 194293 4281
196023 196379 9366
183090 183812 789
167084 190447 3387
186008 193513 9462
172096 184667 6943
101844 194557 6824
21728 100542 1849
181121 186217 3641
14975 127538 3635
84502 139964 9993
75941 137429 4851
21024 48604 6097
64711 192590 1549
160908 171449 7527
