463 217
39238 111640 9417
97716 196268 7942
92864 160975 6017
42737 140082 3479
169393 191356 8250
85810 137127 1382
77475 199311 5145
84747 178171 5509
159401 174350 6337
58402 89406 4499
49081 134487 4462
108033 197441 7094
6266 76397 9828
80716 182365 8984
41505 147236 3655
142623 168283 9092
14098 118070 2716
165805 188402 8578
116008 164287 7087
89214 145405 9473
72139 94666 7285
148965 159520 3397
86475 106450 6101
9188 179286 2897
31548 99383 8179
68104 132983 9815
115422 189838 5597
197542 198416 3149
157351 164030 5529
159475 194224 5905
40271 160568 9774
149981 169676 8608
8973 145904 2082
39487 43055 5923
34637 119153 2532
26821 122039 5483
11378 155401 6427
188337 193826 5422
20187 94341 3550
184543 198604 9890
157539 180979 3829
135607 175940 7194
70656 161280 6143
114464 183420 8750
90271 186727 7029
5403 51877 2064
65036 114483 8751
134882 139069 9580
154715 196426 9973
69770 113131 2654
75611 107673 2745
177978 179058 7115
42397 68884 578
125752 156876 376
117972 195555 2172
5824 177218 1792
122740 184728 8126
60186 172446 3892
86076 137344 6348
1440 78581 6611
169555 185131 670
110553 188482 2076
184007 195185 5328
112263 157022 5888
10219 117009 12
139055 158506 9838
141623 185937 1876
13412 193543 233
195119 195766 6852
119156 166264 4332
56862 179666 5447
65331 74808 8945
72771 77816 9816
126219 163877 2734
136277 150134 540
84076 92741 4001
102940 148001 6062
141367 192951 7438
43604 113098 603
118065 152943 2310
116254 195584 1647
183276 184997 1369
166435 183397 2079
6929 155510 4686
155409 199499 648
43783 78054 1538
197823 198154 1239
189813 192465 7952
842 126261 1978
144420 184213 7152
62736 169375 7639
138119 162949 8115
37375 87880 2620
107544 197520 4669
13567 94353 4119
117204 120370 4547
49279 88004 758
15881 144252 1591
22444 54039 5248
35333 119114 6242
78516 90908 4901
29111 109629 1793
13620 85721 1732
99313 194148 915
29858 179818 1532
50352 146632 2033
100164 173733 3221
56765 185549 7359
73941 124497 4991
110949 149930 9170
17033 77262 187
30992 179469 2194
185610 186614 5305
162700 173981 2961
6941 115849 9697
134900 144117 2300
165780 170976 7701
43157 77207 1570
62675 68455 9718
79369 191715 4994
4188 122312 9366
4145 166036 5162
41702 50043 9967
114529 162725 8301
64425 156155 4177
124182 174069 3156
148550 176208 225
11776 99446 5416
55731 117038 3408
63127 151173 1631
173792 188078 3497
195462 198600 3461
20084 129003 7983
114600 121296 8572
126579 162018 7590
102757 152633 3095
174349 176938 2256
135213 160483 5410
104027 173708 9115
114985 148727 8598
5230 186937 4473
104724 126188 8652
116323 126284 1440
29491 49180 2672
75007 101454 6067
154501 169702 488
181500 194323 1296
2309 100871 5924
70102 139720 1323
24258 116016 6376
72907 148409 5706
38164 76918 4343
153081 180224 4178
20182 63175 2882
140597 180071 1762
27643 86115 4770
175728 176627 4591
94264 189702 8498
12969 69117 8320
102970 160024 8384
129103 153320 3514
184773 194300 2037
87283 124947 6142
184574 185019 5314
70236 120024 5569
142622 182119 6029
111563 112233 6395
46942 76781 5420
86602 127919 5765
45770 170592 402
84941 115825 5245
81626 193505 9000
56885 75626 411
120087 165419 2797
187435 198247 6697
93034 148974 4864
104585 127477 1501
56234 120896 3293
174342 180304 6171
5340 128106 614
195329 196606 4137
91299 114638 4244
22155 62378 2066
99500 121563 862
97710 97748 3983
118155 136944 4505
174544 190812 722
174665 197215 337
13853 85216 37
96248 110696 3782
183013 184551 8691
174459 191509 6521
147778 152895 9316
173537 193560 1081
175112 196028 1823
112333 194420 6841
16458 120636 7675
108152 196073 7413
52695 183097 7765
102343 148490 6917
68286 165938 7769
66051 82897 496
106638 146291 2587
95316 142348 7412
197130 197389 4933
95576 100739 8580
51830 160364 3350
139584 147163 7891
114975 198467 7992
136153 156988 3680
59869 199524 1442
180652 186274 7555
71503 104533 143
162794 186269 1735
96585 160964 7966
165953 179327 1144
117419 192939 6732
112881 177941 2414
148406 158207 1502
32970 94585 9642
22643 125958 2019
78064 100814 8064
82564 135760 2506
60980 68872 581
184232 188496 2159
196211 196744 5291
10543 150326 8204
7063 160621 1803
63572 135881 6061
21396 133400 2914
6623 47385 2772
97378 141985 2319
165728 193350 6366
99274 188672 6924
184054 192824 2117
18346 169092 5626
79916 129506 4663
116435 151834 7409
24460 88500 6775
188774 191396 6200
87958 112142 2611
2586 161636 6306
180668 193966 5717
138859 198529 2234
75428 147693 205
84833 150822 7504
169428 190199 2990
47465 87884 4195
168228 182314 1721
123895 157778 8993
20271 130970 8871
79275 103811 8941
137310 167561 7098
79772 194944 8416
196876 199871 4341
50626 106915 6435
54301 118398 7386
56263 196944 9228
16393 68897 3445
80201 176658 3175
3450 62703 9256
178201 188685 3190
199831 199995 6774
151133 179979 2508
184324 186179 6515
162451 180351 982
159936 164697 2811
154368 157552 3163
175349 192222 1362
28116 179663 4997
192396 197889 3532
53278 75415 5487
148994 177259 878
91923 186818 8418
11899 157689 7300
75448 117049 8555
167632 193644 468
156883 179820 1071
126000 164849 6051
120274 129604 9665
122198 190994 7718
60556 97603 3234
160228 183629 2475
53365 58555 7515
139914 150429 1721
11375 86071 5735
164947 179689 7109
78549 113877 9364
177115 192478 2374
170802 197601 5707
62062 94289 203
111528 136817 189
58454 182051 570
16152 49247 3808
176940 183161 7661
125700 151618 251
72129 175769 7464
25372 199070 8062
118381 167203 3710
117192 176566 6357
167655 173865 6213
188833 190161 9982
42767 50830 1542
127141 182463 9561
165301 196030 2233
16552 159518 6608
181689 189337 8592
153902 163129 1158
92590 179718 3571
63145 126233 4548
138019 195812 6028
125266 196472 8881
54254 131153 1155
34087 159015 6498
145644 190311 9820
172885 174767 9426
130476 184270 3504
38654 188023 9428
5890 106171 2489
170679 197157 9414
182765 189224 6561
41270 88483 4024
179646 180570 6781
61853 197707 110
198585 199368 9302
47178 56138 9665
178694 182682 4856
7933 150227 3132
106638 110278 9854
108355 146423 4613
55380 86265 2669
166210 185534 5242
57980 122485 128
45888 53693 2654
197740 197813 4020
114335 194385 3365
175564 192431 3141
184898 197882 7548
73755 78549 2488
9597 163549 5260
112533 184156 4026
7335 23146 7983
100705 173663 4553
21734 27174 3523
189465 199308 2833
177555 197198 3552
79220 159012 9881
117439 150686 7829
123896 181347 175
88879 111356 6519
134596 137315 6609
39233 45263 7515
4911 188354 9005
177058 184358 131
32719 121201 9179
132015 158827 1304
116086 132556 4729
126684 130626 8536
146188 194120 4903
193214 199966 5999
98148 179308 4820
91916 190080 1850
45196 73527 5224
172677 183932 665
194134 196487 7140
40962 114452 1477
178237 198669 1335
111298 137257 3267
41020 145934 5041
23144 53790 2758
75886 87931 1437
62402 155886 8507
116483 192768 5466
172287 196945 3169
59930 128408 4682
157202 182438 4040
132260 148381 927
108892 161249 1484
198977 199662 8563
162533 166897 8001
132073 167579 3622
12725 66722 6544
78970 135458 8093
20647 157184 3042
159304 161226 6585
1691 180248 3821
165292 176690 2565
47782 145701 3853
22217 138299 8484
69154 166212 6229
160174 190684 5419
69469 183105 6245
61098 96634 1722
159388 184547 5757
185127 192453 336
188603 195362 1923
58857 192805 5199
120174 135761 1345
47626 146622 3261
2633 128531 2323
50904 109180 8205
113967 130319 6863
40160 135912 5645
55730 73321 4533
58167 117249 9713
184662 195481 2569
171714 183688 9424
78182 188752 7727
139485 158004 9485
82027 194845 1750
150845 194861 9960
122690 199963 8232
106922 182766 950
166681 196524 64
91204 180519 3950
160693 199756 9068
105239 143863 7301
50222 148933 7237
88237 194438 7724
92800 153460 8092
78220 153258 8472
173188 186099 1848
127825 162799 3714
36694 179140 4429
