145 58
33019 140598 5435
183628 190473 4912
63214 154848 3590
165192 189913 6774
192598 196155 3598
148066 154905 3900
12696 188031 5602
192913 198676 9880
34011 71499 3529
50977 88026 1268
30253 126126 4943
84944 143950 2641
27174 181351 3633
82976 137828 4650
3414 15449 726
78637 105620 1879
9202 174102 2782
70127 190972 3603
73441 110406 8127
112143 197949 5055
81993 178221 637
196358 196797 7193
84160 127576 4410
49128 134965 9319
178530 187826 4590
142910 199675 9336
2456 81499 9928
189622 193055 9484
18965 178940 7669
99455 158338 9090
102672 159226 1264
47853 149990 6178
112313 122352 7596
197111 199422 9997
111402 143580 2813
43234 62757 5794
183878 195366 7133
4743 45251 5729
75556 142386 6589
43370 166810 4389
109681 149098 3370
32828 149688 893
155793 164717 7794
38384 166695 220
86938 156168 8134
105685 111635 1137
112414 153613 4803
95844 100844 1273
53434 110607 3196
174649 177350 1780
130240 149502 3577
11950 82513 3221
47430 59447 7605
179683 196794 430
60092 197041 5844
79790 144940 9130
77086 93042 8084
167702 182751 6364
66514 197334 5830
114571 119438 2344
172343 194153 8844
139133 146159 4097
14246 121106 5525
92259 166915 9955
88334 151835 870
20593 146571 6961
172921 187514 8043
183585 186646 401
60075 145917 2030
188490 188700 3446
90008 94049 5415
16613 53515 4030
2499 142394 2261
13104 171433 2862
117815 128784 9019
51078 78078 6506
80455 176838 446
49592 114219 169
42507 131957 3294
135172 187806 7784
188005 196407 1139
92494 164571 5469
125943 172740 7754
3068 20505 6255
26496 199978 8352
109205 176147 1059
119938 133066 8413
81868 154732 7722
147593 187513 5540
88507 134782 8233
163470 177167 7194
189960 190956 1049
89491 154654 2213
147566 175506 496
69187 134689 6903
3563 134964 7968
152018 160943 3771
140383 196530 2766
157066 185985 9791
82765 120597 2693
136129 169117 9474
8007 46863 428
63904 126520 2623
68270 70517 788
91835 124437 8922
24823 136447 5511
159734 174568 2699
48861 168573 8493
192778 198867 7336
47218 147713 1248
19211 104902 2664
130950 165874 1379
31790 97315 3077
138463 141736 5774
142393 153873 833
107238 179273 5244
111754 179694 5148
108524 195352 6569
27699 106236 388
182272 185351 2182
142278 148374 6319
38168 105571 974
95039 121557 5541
179463 182354 222
119033 186224 3600
69942 199712 256
4459 48252 1384
126687 128499 2137
49399 177902 9146
146595 162340 9187
123347 171921 761
102883 190609 2333
124897 160790 3447
185755 199474 1041
111406 187932 7733
132125 186852 198
79170 136868 9306
60333 78891 5816
69228 132372 3216
45523 152991 708
157138 184047 8629
32859 178567 5912
190032 192847 768
88710 199985 410
162651 163373 4097
120141 179035
107911 131278
4396 103380
160866 168208
183135 186048
54858 152700
23970 29419
15326 54976
37206 118168
105505 148852
60222 66270
63607 138707
169027 177266
99820 180469
41841 81733
194412 197374
109239 150214
39244 46882
110699 135482
85952 185440
98948 189878
172323 179135
160478 183055
129010 185861
180345 184505
39441 96340
151355 198131
87876 171359
120873 147765
171511 194277
42546 172474
27511 54205
9700 115679
196471 197373
37045 138477
77004 159140
100155 195644
10545 136454
78772 148647
149892 164801
58495 129515
50759 169795
133601 170663
19680 114517
167554 186214
151769 184837
183981 197039
169248 197960
13523 47566
32008 85507
60041 193953
117383 178550
58885 191153
160758 181254
100325 199807
89236 121105
51368 130322
91331 156823
